season,episode_number,air_date,count
3,95,2016-02-29T13:30:00-08:00,7
3,96,2016-03-01T23:30:00-08:00,7
3,97,2016-03-02T00:00:00-08:00,23
3,98,2016-03-03T23:00:00-08:00,8
3,99,2016-03-04T00:00:00-08:00,8
3,100,2016-03-14T23:34:00-07:00,5
3,101,2016-03-15T00:00:00-07:00,16
3,102,2016-03-16T00:00:00-07:00,13
3,103,2016-03-17T23:00:00-07:00,6
3,104,2016-03-18T20:34:00-07:00,17
3,105,2016-03-21T23:30:00-07:00,7
3,106,2016-03-22T23:00:00-07:00,0
3,107,2016-03-23T23:00:00-07:00,4
3,108,2016-03-24T23:00:00-07:00,11
3,109,2016-03-25T23:00:00-07:00,2
3,110,2016-03-28T00:00:00-07:00,8
3,111,2016-03-29T00:00:00-07:00,4
3,112,2016-03-30T23:30:00-07:00,7
3,113,2016-03-31T23:30:00-07:00,5
3,114,2016-04-01T00:00:00-07:00,11
3,115,2016-04-04T20:35:00-07:00,3
3,116,2016-04-05T23:35:00-07:00,6
3,117,2016-04-06T20:35:00-07:00,5
3,118,2016-04-07T20:35:00-07:00,3
3,119,2016-04-08T20:35:00-07:00,5
3,120,2016-04-11T20:35:00-07:00,1
3,121,2016-04-12T20:35:00-07:00,10
3,122,2016-04-13T20:35:00-07:00,6
3,123,2016-04-14T20:35:00-07:00,12
3,124,2016-04-15T20:35:00-07:00,6
3,125,2016-04-25T20:35:00-07:00,5
3,126,2016-04-26T20:35:00-07:00,4
3,127,2016-04-27T20:35:00-07:00,4
3,128,2016-04-28T20:35:00-07:00,4
3,129,2016-04-29T20:35:00-07:00,3
3,130,2016-05-02T20:35:00-07:00,3
3,131,2016-05-03T20:35:00-07:00,6
3,132,2016-05-04T20:35:00-07:00,16
3,133,2016-05-05T20:35:00-07:00,11
3,134,2016-05-06T20:35:00-07:00,14
3,135,2016-05-09T20:35:00-07:00,9
3,136,2016-05-10T20:35:00-07:00,18
3,137,2016-05-11T20:35:00-07:00,0
3,138,2016-05-12T20:35:00-07:00,16
3,139,2016-05-13T20:35:00-07:00,4
3,140,2016-05-16T20:35:00-07:00,7
3,141,2016-05-17T20:35:00-07:00,7
3,142,2016-05-18T20:35:00-07:00,9
3,143,2016-05-19T20:35:00-07:00,5
3,144,2016-05-20T20:35:00-07:00,9
3,145,2016-05-23T20:35:00-07:00,7
3,146,2016-05-24T20:35:00-07:00,3
3,147,2016-05-25T20:35:00-07:00,0
3,148,2016-05-26T20:35:00-07:00,10
3,149,2016-05-27T20:35:00-07:00,2
3,150,2016-06-06T20:35:00-07:00,10
3,151,2016-06-07T20:35:00-07:00,9
3,152,2016-06-08T20:35:00-07:00,10
3,153,2016-06-09T20:35:00-07:00,8
3,154,2016-06-10T20:35:00-07:00,5
3,155,2016-06-13T20:35:00-07:00,0
3,156,2016-06-14T20:35:00-07:00,8
3,157,2016-06-15T20:35:00-07:00,8
3,158,2016-06-16T20:35:00-07:00,5
3,159,2016-06-17T20:35:00-07:00,0
3,160,2016-06-20T20:35:00-07:00,3
3,161,2016-06-21T20:35:00-07:00,6
3,162,2016-06-22T20:35:00-07:00,6
3,163,2016-06-23T03:35:00-07:00,7
3,164,2016-06-24T20:35:00-07:00,2
3,165,2016-07-11T20:35:00-07:00,2
3,166,2016-07-12T20:35:00-07:00,5
3,167,2016-07-13T20:35:00-07:00,5
3,168,2016-07-14T20:35:00-07:00,6
3,169,2016-07-15T20:35:00-07:00,2
3,170,2016-07-18T20:35:00-07:00,10
3,171,2016-07-19T20:35:00-07:00,10
3,172,2016-07-20T20:35:00-07:00,9
3,173,2016-07-21T20:35:00-07:00,12
3,174,2016-07-22T20:35:00-07:00,4
3,175,2016-07-25T20:35:00-07:00,2
3,176,2016-07-26T20:35:00-07:00,5
3,177,2016-07-27T20:35:00-07:00,13
3,178,2016-07-28T20:35:00-07:00,4
3,179,2016-07-29T20:35:00-07:00,6
3,180,2016-08-01T20:35:00-07:00,5
3,181,2016-08-02T20:35:00-07:00,7
3,182,2016-08-03T20:35:00-07:00,6
3,183,2016-08-04T20:35:00-07:00,12
3,184,2016-08-05T20:35:00-07:00,6
3,185,2016-08-22T20:30:00-07:00,6
3,186,2016-08-23T20:30:00-07:00,9
3,187,2016-08-24T20:30:00-07:00,3
3,188,2016-08-25T20:30:00-07:00,6
3,189,2016-08-26T20:30:00-07:00,7
3,190,2016-08-29T20:30:00-07:00,10
3,191,2016-08-30T20:30:00-07:00,4
3,192,2016-08-31T20:30:00-07:00,6
3,193,2016-09-01T20:30:00-07:00,3
3,194,2016-09-02T20:30:00-07:00,9
3,195,2016-09-06T20:35:00-07:00,7
3,196,2016-09-07T20:34:00-07:00,2
3,197,2016-09-08T20:35:00-07:00,2
3,198,2016-09-09T20:35:00-07:00,5
3,199,2016-09-12T20:35:00-07:00,11
3,200,2016-09-13T20:35:00-07:00,12
3,201,2016-09-14T20:35:00-07:00,12
3,202,2016-09-15T20:35:00-07:00,22
3,203,2016-09-16T20:35:00-07:00,8
4,1,2016-09-19T20:35:00-07:00,9
4,2,2016-09-20T20:35:00-07:00,11
4,3,2016-09-21T20:35:00-07:00,7
4,4,2016-09-22T20:35:00-07:00,4
4,5,2016-09-23T20:35:00-07:00,8
4,6,2016-09-26T20:35:00-07:00,8
4,7,2016-09-27T20:35:00-07:00,8
4,8,2016-09-28T20:35:00-07:00,4
4,9,2016-09-29T20:35:00-07:00,9
4,10,2016-09-30T20:35:00-07:00,12
4,11,2016-10-03T20:35:00-07:00,7
4,12,2016-10-04T20:35:00-07:00,3
4,13,2016-10-05T20:35:00-07:00,8
4,14,2016-10-06T20:35:00-07:00,11
4,15,2016-10-07T20:35:00-07:00,12
4,16,2016-10-10T20:35:00-07:00,11
4,17,2016-10-11T20:34:00-07:00,3
4,18,2016-10-12T20:35:00-07:00,10
4,19,2016-10-13T20:35:00-07:00,8
4,20,2016-10-14T20:35:00-07:00,10
4,21,2016-10-24T20:35:00-07:00,3
4,22,2016-10-25T20:35:00-07:00,8
4,23,2016-10-26T20:35:00-07:00,3
4,24,2016-10-27T20:35:00-07:00,7
4,25,2016-10-28T20:35:00-07:00,7
4,26,2016-10-31T20:35:00-07:00,10
4,27,2016-11-01T20:35:00-07:00,6
4,28,2016-11-02T20:35:00-07:00,5
4,29,2016-11-03T20:35:00-07:00,8
4,30,2016-11-04T20:35:00-07:00,8
4,31,2016-11-07T20:35:00-08:00,8
4,32,2016-11-09T20:35:00-08:00,8
4,33,2016-11-10T20:35:00-08:00,15
4,34,2016-11-11T20:35:00-08:00,13
4,35,2016-11-14T20:35:00-08:00,9
4,36,2016-11-15T20:35:00-08:00,15
4,37,2016-11-16T20:35:00-08:00,18
4,38,2016-11-17T20:35:00-08:00,4
4,39,2016-11-18T20:35:00-08:00,15
4,40,2016-11-21T20:35:00-08:00,11
4,41,2016-11-22T20:35:00-08:00,10
