season,episode_number,rating,rating_count
1,39,N/A,N/A
2,39,N/A,N/A
3,39,N/A,N/A
4,39,N/A,N/A
5,39,N/A,N/A
6,39,N/A,N/A
7,39,8.3,6
8,39,N/A,N/A
9,39,5.9,8
10,39,6.2,9
11,39,7.8,12
12,39,6.3,9
13,39,6.1,11
14,39,5.8,9
15,39,7.1,16
16,39,6.6,14
17,39,7.6,16
18,39,7.6,19
19,39,8.6,21
20,39,7.2,23
1,40,N/A,N/A
2,40,N/A,N/A
3,40,N/A,N/A
4,40,N/A,N/A
5,40,N/A,N/A
6,40,N/A,N/A
7,40,N/A,N/A
8,40,6.4,8
9,40,8.0,6
10,40,6.3,11
11,40,6.6,8
12,40,6.7,10
13,40,7.2,10
14,40,6.0,12
15,40,7.0,16
16,40,6.6,13
17,40,7.3,14
18,40,7.2,18
19,40,8.3,18
20,40,7.2,27
1,41,N/A,N/A
2,41,N/A,N/A
3,41,N/A,N/A
4,41,N/A,N/A
5,41,N/A,N/A
6,41,N/A,N/A
7,41,N/A,N/A
8,41,3.8,13
9,41,5.7,9
10,41,6.6,10
11,41,4.4,34
12,41,5.3,12
13,41,6.1,11
14,41,6.3,6
15,41,7.0,13
16,41,7.8,6
17,41,7.2,17
18,41,7.1,15
19,41,8.1,18
20,41,7.6,22
1,42,N/A,N/A
2,42,N/A,N/A
3,42,N/A,N/A
4,42,N/A,N/A
5,42,N/A,N/A
6,42,N/A,N/A
7,42,N/A,N/A
8,42,N/A,N/A
9,42,5.3,10
10,42,7.2,11
11,42,6.8,9
12,42,6.1,11
13,42,6.2,16
14,42,6.2,10
15,42,6.5,18
16,42,6.7,9
17,42,7.2,17
18,42,6.6,16
19,42,8.3,19
20,42,7.5,19
1,43,N/A,N/A
2,43,N/A,N/A
3,43,N/A,N/A
4,43,N/A,N/A
5,43,N/A,N/A
6,43,N/A,N/A
7,43,N/A,N/A
8,43,N/A,N/A
9,43,6.4,9
10,43,6.9,8
11,43,3.3,28
12,43,6.1,11
13,43,7.6,12
14,43,5.9,9
15,43,6.6,12
16,43,7.9,14
17,43,7.6,17
18,43,7.7,18
19,43,8.0,20
20,43,8.1,22
1,44,N/A,N/A
2,44,N/A,N/A
3,44,N/A,N/A
4,44,N/A,N/A
5,44,N/A,N/A
6,44,N/A,N/A
7,44,N/A,N/A
8,44,6.0,8
9,44,5.1,11
10,44,6.4,8
11,44,6.1,9
12,44,5.8,13
13,44,6.3,13
14,44,5.9,9
15,44,6.5,14
16,44,7.2,10
17,44,7.9,18
18,44,6.6,19
19,44,8.2,21
20,44,7.6,22
1,45,N/A,N/A
2,45,N/A,N/A
3,45,N/A,N/A
4,45,N/A,N/A
5,45,N/A,N/A
6,45,N/A,N/A
7,45,N/A,N/A
8,45,N/A,N/A
9,45,6.1,8
10,45,6.0,9
11,45,8.0,9
12,45,6.4,11
13,45,6.0,11
14,45,6.5,10
15,45,6.0,15
16,45,7.0,13
17,45,7.9,18
18,45,7.6,20
19,45,7.3,17
20,45,7.4,25
1,46,N/A,N/A
2,46,7.5,6
3,46,N/A,N/A
4,46,N/A,N/A
5,46,N/A,N/A
6,46,N/A,N/A
7,46,N/A,N/A
8,46,5.8,13
9,46,5.2,10
10,46,5.7,11
11,46,7.6,7
12,46,6.0,10
13,46,6.8,8
14,46,7.2,6
15,46,6.3,15
16,46,8.0,6
17,46,7.0,17
18,46,6.2,19
19,46,7.6,19
20,46,6.8,25
1,47,N/A,N/A
2,47,6.4,7
3,47,N/A,N/A
4,47,N/A,N/A
5,47,N/A,N/A
6,47,N/A,N/A
7,47,N/A,N/A
8,47,N/A,N/A
9,47,6.2,9
10,47,6.4,8
11,47,7.1,15
12,47,6.3,9
